complex_name,graph_file,sha256,nodes,local_edges,line_nodes,line_edges,coulomb_nodes,coulomb_edges
A71EV2A-x3435a,processed/A71EV2A-x3435a.bin,224301a89e809c7c64d4459f0c2d47d86ae721465303ca3e8486e671f62074bb,16,191,191,2285,16,240
A71EV2A-x3436a,processed/A71EV2A-x3436a.bin,f99313652b6fe372ed7a8e587f748c77c09a2aec881a58f1b1ee883d9e1da158,16,192,192,2304,16,240
A71EV2A-x3450a,processed/A71EV2A-x3450a.bin,2c98583c20a14d9a669ac8332aaf5dc1f516f50b270b54bbcc9aad89d0eb11ee,19,228,228,2736,19,342
A71EV2A-x3480a,processed/A71EV2A-x3480a.bin,031d5dd2a6541cfcd93e7c7fc9f6832863199cf91466a02799a5812c1f51b873,21,250,250,2988,21,420
A71EV2A-x3483a,processed/A71EV2A-x3483a.bin,461a088729ca41966c63aac7589854bf66bb3925a95dbb1b81b3da6b7b584093,21,252,252,3024,21,420
A71EV2A-x3485a,processed/A71EV2A-x3485a.bin,09689a6994935c8ba5ac358dba0f7df4de0f96f63c0dfaa76ce9494a8065918c,20,240,240,2880,20,380
A71EV2A-x3488a,processed/A71EV2A-x3488a.bin,a1376d7f83f5583874c29853496377dcec672f88e20ee9a8de8cb9a7e02e5f2f,24,288,288,3456,24,552
A71EV2A-x3489a,processed/A71EV2A-x3489a.bin,1474ba6b60fb003d99811b5d32afd38415907e9a967e49ebdf160e49c5cde13f,22,264,264,3168,22,462
A71EV2A-x3509a,processed/A71EV2A-x3509a.bin,0c5545a0bb7ffd5b17c0613693efc3d5841bb053612f86bdc16b3e34d55017a7,20,239,239,2861,20,380
A71EV2A-x3509b,processed/A71EV2A-x3509b.bin,c45a5f340a510d72f8652b6fc22e4a154467885081fd469aff7f459ada78c3e7,20,239,239,2861,20,380
A71EV2A-x3510a,processed/A71EV2A-x3510a.bin,755cdb56b91a1ec056941cf450307b214d2868510fc227f4a1b3362255d8b05c,19,228,228,2736,19,342
A71EV2A-x3593a,processed/A71EV2A-x3593a.bin,c8db01620a3316a683dceafda4742c750559fa3dd3382dda1912e17602007484,21,252,252,3024,21,420
A71EV2A-x3606a,processed/A71EV2A-x3606a.bin,ed267d00536cf58039866bf20d6719d8b33c2f1d201ac05493b3fee43b1cc268,26,312,312,3744,26,650
A71EV2A-x3612a,processed/A71EV2A-x3612a.bin,d0e3345cf75e79efaa6557a08c4e495448c199ac42e5177eab0c5d8162432f74,19,228,228,2736,19,342
A71EV2A-x3616a,processed/A71EV2A-x3616a.bin,70cb6d83b7779fde54dee09105184bfcb7973bf2aa39de7af9a58534ad450bc3,20,240,240,2880,20,380
A71EV2A-x3616b,processed/A71EV2A-x3616b.bin,786ce50e64a55935e33b33be5d0c6e3c0f303423d6a5103934a7e8d744bc4e4f,20,240,240,2880,20,380
